Cat 1,Cat 2,Cat 3,nom,Description,IsBio,Petit,Grand,prix_unique
Le chaud,Cafés,,Café bio et équitable 80% Arabica 20% Robusta,"(Pérou) Brûlerie de la Maine, Etriché",bio,"1,60 €","3,00 €",
Le chaud,Thés / infusions Dammann,Thé noir,Ceylan,,,,,
Le chaud,,,Earl Grey,,,,,
Le chaud,,,4 Fruits rouge,,,,,
Le chaud,,,Vanille,,,,,
Le chaud,,Thé vert,Miss dammann,"Citron, Fruit de la Passion, Gingembre",,,,
Le chaud,,,Yunnan,,,,,
Le chaud,,,Menthe,,,,,
Le chaud,,Infusions,Tisane Nuit à Versailles,"Bergamote, Kiwi, Pêche",,,,
Le chaud,,,,,,,,
Le chaud,,,,,,,,
Le chaud,,,,,,,,
Le chaud,,,,,,,,
Le chaud,,,,,,,,
Le chaud,,,,,,,,
Le chaud,,,,,,,,
Le chaud,,,,,,,,
Le chaud,,,,,,,,
Le chaud,,,,,,,,
Le chaud,,,,,,,,
Le chaud,,,,,,,,
