cat1,cat2,cat3,nom,description,intitulé,prix_1,prix_2,prix_3
boissons,Le chaud,Cafés,Café bio et équitable 80% Arabica 20% Robusta,"(Pérou) Brûlerie de la Maine, Etriché",Petit / Grand,"1,60 €","3,00 €",
boissons,Le chaud,Cafés,Déca,,Petit / Grand,"1,70 €","1,70 €",
boissons,Le chaud,Cafés,Café Allongé,,Petit / Grand,"1,70 €","3,20 €",
boissons,Le chaud,Cafés,Noisette,,Petit / Grand,"1,70 €","3,20 €",
boissons,Le chaud,Cafés,Café Crème,,Petit / Grand,"2,50 €","4,00 €",
boissons,Le chaud,Cafés,Chaï Latte,,Petit / Grand,"3,50 €","5,50 €",
boissons,Le chaud,Cafés,Chocolat au Lait,,Petit / Grand,"3,50 €","5,50 €",
boissons,Le chaud,Cafés,Cappuccino,,Petit / Grand,"3,50 €",,
boissons,Le chaud,Cafés,Café Viennois,,Petit / Grand,"2,80 €","6,20 €",
boissons,Le chaud,Cafés,Chocolat Viennois,,Petit / Grand,"4,00 €","6,50 €",
boissons,Le chaud,Cafés,Macchiato,"Café, Lait, Caramel ou Chocolat Mai",Petit / Grand,"4,50 €","6,00 €",
boissons,Le chaud,Cafés,Macchiato royal,"Café, Lait, Caramel ou Chocolat Maison,Chantilly",Petit / Grand,"4,50 €","7,00 €",
boissons,Le chaud,Cafés,Café Gourmand,,Petit / Grand,"7,50 €",,
boissons,Le chaud,Cafés,Thé Gourmand,,Petit / Grand,"8,50 €",,
boissons,Thés / infusions Dammann,Thé noir,Ceylan,,,"3,50 €",,
boissons,Thés / infusions Dammann,Thé noir,Earl Grey,,,"3,50 €",,
boissons,Thés / infusions Dammann,Thé noir,4 Fruits rouge,,,"3,50 €",,
boissons,Thés / infusions Dammann,Thé noir,Vanille,,,"3,50 €",,
boissons,Thés / infusions Dammann,Thé vert,Miss dammann ," Citron, Fruit de la Passion, Gingembre",,"3,50 €",,
boissons,Thés / infusions Dammann,Thé vert,Yunnan,Yunnan,,"3,50 €",,
boissons,Thés / infusions Dammann,Thé vert,Menthe,Menthe,,"3,50 €",,
boissons,Thés / infusions Dammann,Thé vert,Jasmin,Jasmin,,"3,50 €",,
boissons,Thés / infusions Dammann,Infusions,Tisane Nuit à Versailles,"Bergamote, Kiwi, Pêche",,"3,50 €",,
boissons,Thés / infusions Dammann,Infusions,Tisane Carcadet,"Passion, Framboise",,"3,50 €",,
